Andrea:::Edo Fendy ft. Kerim - OiOiOi [24K]:::https://www.youtube.com/watch?v=fS8NMXPII4Q
Andrea:::Tony Effe, Lazza, Salmo - PUSSY (Testo/Lyrics):::https://www.youtube.com/watch?v=2kAQiP4gtdY
Andrea:::Gu - Chico ft. Rose Villain, Luch:::https://www.youtube.com/watch?v=ky1C17tPbsc
Andrea:::Gu, DJ Harsh - Lifestyle (Official Video):::https://www.youtube.com/watch?v=n0YmcbgZJ5k
Andrea:::Shiva - TAKE 4  (Official video):::https://www.youtube.com/watch?v=dWcipGS717Q
Andrea:::James Hype, Miggy Dela Rosa, Lazza - Ferrari (Remix) (Testo/Lyrics):::https://www.youtube.com/watch?v=gCwcm5RlBrs
Andrea:::Ghali - Boogieman feat. Salmo (Official Video):::https://www.youtube.com/watch?v=-7lqGbIE3aM
Andrea:::Night Skinny - Stay Away ft. Ketama126, Side Baby, Franco126:::https://www.youtube.com/watch?v=nshlQwhaw3c
Andrea:::Alright:::https://www.youtube.com/watch?v=hotNmlabKzM
Andrea:::Lazza - USCITO DI GALERA (Visual):::https://www.youtube.com/watch?v=U547ORZ3Oys
Andrea:::Emis Killa, Sfera Ebbasta - ON FIRE (paid in full):::https://www.youtube.com/watch?v=pwS9g7srXuY
Andrea:::Marracash & Gu - Scooteroni RMX ft. Sfera Ebbasta:::https://www.youtube.com/watch?v=j3FXV0Ma3QA
Andrea:::Rital:::https://www.youtube.com/watch?v=9PU4I_8QHOs
Andrea:::Rkomi, Sfera Ebbasta - NUOVO RANGE (Visual):::https://www.youtube.com/watch?v=uu6vCPbEZdI
Andrea:::Marracash - SUPREME - L'ego ft. tha Supreme, Sfera Ebbasta:::https://www.youtube.com/watch?v=ewCEu4r3wWU
Andrea:::Ne  valsa la pena (feat. Ghali):::https://www.youtube.com/watch?v=19ro0Giif34
Andrea:::Gu, Paky - Tuta Maphia (Visual):::https://www.youtube.com/watch?v=O5rpuLVEofQ
Andrea:::Shiva - Rollie AP feat. Pyrex & Slings (Audio):::https://www.youtube.com/watch?v=tEBFuzlUaUM
Andrea:::Marracash - Business Class feat. Rkomi (Original Audio):::https://www.youtube.com/watch?v=9zdpqQT-nzM
Andrea:::FSK SATELLITE, Chief Keef, Tadoe - HO FATTO (Prod. By Greg Willen):::https://www.youtube.com/watch?v=E8jht4cBkMI
Andrea:::Gu, DJ Harsh, Lazza, Salmo - Alex (Visual):::https://www.youtube.com/watch?v=6kZ-SywMl50
Andrea:::EMIS KILLA - PAROLE DI GHIACCIO (OFFICIAL VIDEO):::https://www.youtube.com/watch?v=vlfNL5cTfoE
Andrea:::Sai Zio (Remix):::https://www.youtube.com/watch?v=AX777KTtnkQ
Andrea:::Salmo - FUORI DI TESTA (Video Animation):::https://www.youtube.com/watch?v=NSxRDCmLMHI
Andrea:::Rhove - Corso Europa (prod. Madfingerz):::https://www.youtube.com/watch?v=jPUagM4U6L0
Andrea:::SLIME:::https://www.youtube.com/watch?v=f8QTUXC_ZqQ
Andrea:::Finesse - Gelosa ft. Shiva, Sfera Ebbasta, Gu (Official Video):::https://www.youtube.com/watch?v=oBS25dk7asc
Andrea:::Peace & Love:::https://www.youtube.com/watch?v=PxQVexjVlg4
Andrea:::Mecna, CoCo - La pi bella (prod by Lvnar):::https://www.youtube.com/watch?v=24EtPwUWxEM
